Name,Age,Height(cm),Weight(kg),Score
John,23.0,175.0,70.0,85.0
Alice,25.0,168.0,62.0,90.0
Bob,22.0,,78.0,88.0
Emma,24.0,165.0,55.0,92.0
Tom,23.0,170.0,72.0,87.0
Mike,27.0,172.0,76.0,84.0
Sophia,22.0,160.0,50.0,91.0
David,26.0,181.0,85.0,89.0
Olivia,24.0,167.0,58.0,95.0
Ethan,25.0,178.0,,86.0
Liam,23.0,176.0,74.0,90.0
Mia,21.0,164.0,52.0,93.0
Noah,22.0,182.0,80.0,88.0
Isabella,26.0,,53.0,92.0
James,24.0,173.0,73.0,87.0
Emily,25.0,166.0,60.0,89.0
Benjamin,22.0,185.0,82.0,85.0
Ava,23.0,162.0,56.0,90.0
Lucas,21.0,177.0,79.0,91.0
Charlotte,22.0,163.0,54.0,94.0
Mason,25.0,180.0,75.0,85.0
Amelia,24.0,168.0,61.0,92.0
Elijah,26.0,183.0,83.0,87.0
Harper,23.0,169.0,59.0,88.0
Logan,24.0,174.0,71.0,90.0
Evelyn,25.0,170.0,63.0,93.0
Alexander,23.0,179.0,76.0,89.0
Abigail,22.0,159.0,51.0,94.0
Daniel,27.0,184.0,81.0,87.0
Ella,24.0,171.0,64.0,92.0
Matthew,21.0,178.0,78.0,85.0
Avery,22.0,165.0,57.0,90.0
Henry,23.0,176.0,74.0,88.0
Scarlett,25.0,160.0,55.0,91.0
Sebastian,24.0,182.0,79.0,87.0
Grace,23.0,172.0,62.0,95.0
Jack,21.0,,65.0,88.0
Chloe,26.0,163.0,53.0,92.0
Jackson,25.0,175.0,73.0,86.0
Riley,22.0,166.0,58.0,90.0
Owen,23.0,179.0,77.0,89.0
Lily,24.0,164.0,56.0,91.0
Gabriel,,180.0,75.0,85.0
Sofia,22.0,161.0,54.0,94.0
Carter,26.0,185.0,82.0,88.0
Aria,24.0,167.0,59.0,90.0
Wyatt,23.0,170.0,72.0,89.0
Layla,25.0,162.0,55.0,93.0
Isaac,22.0,177.0,79.0,87.0
Zoe,23.0,165.0,57.0,92.0
Jayden,24.0,182.0,80.0,85.0
Nora,22.0,168.0,60.0,91.0
Levi,25.0,176.0,74.0,
Mila,24.0,163.0,52.0,93.0
Dylan,21.0,183.0,81.0,88.0
Ellie,26.0,172.0,61.0,89.0
Luke,23.0,178.0,76.0,87.0
Hazel,25.0,160.0,50.0,94.0
Julian,,175.0,77.0,85.0
Aurora,24.0,164.0,55.0,90.0
Hudson,23.0,180.0,73.0,88.0
Victoria,25.0,166.0,57.0,91.0
Samuel,26.0,171.0,64.0,86.0
Penelope,22.0,162.0,56.0,92.0
Nathan,24.0,182.0,80.0,89.0
Luna,23.0,169.0,58.0,93.0
Caleb,25.0,174.0,72.0,87.0
Camila,24.0,165.0,54.0,90.0
Ryan,23.0,181.0,83.0,85.0
Savannah,22.0,163.0,52.0,91.0
Asher,25.0,179.0,75.0,88.0
Stella,24.0,167.0,60.0,92.0
Joseph,,184.0,82.0,90.0
Paisley,26.0,170.0,62.0,89.0
Leah,22.0,160.0,53.0,94.0
